Rank,Rank_range,Company,Company_eng,Valuation,Leader,Headquarter,Industry,Select Investors
1,→,蚂蚁金服,Ant Financial,10000,井贤栋,杭州,互联网金融,春华资本、中投海外、红杉资本
2,3↑,今日头条,Toutiao,5000,张一鸣,北京,文化娱乐,红杉资本、海纳亚洲、纪源资本
3,1↓,滴滴出行,Didi Chuxing,3000,程维,北京,互联网服务,腾讯、阿里巴巴、红杉资本、经纬中国
4,1↑,陆金所,Lufax,2500,计葵生,上海,互联网金融,摩根士丹利、中银集团、国泰君安（香港）
5,8↑,微众银行,WeBank,1500,顾敏,深圳,互联网金融,华平投资、淡马锡
6,3↑,菜鸟网络,Cainiao,1000,童文红,杭州,物流服务,GIC、淡马锡、春华资本
6,2↑,大疆,DJI,1000,汪滔,深圳,机器人,Accel、红杉资本、麦星投资
6,3↑,京东数字科技,JDDigits,1000,陈生强,北京,互联网服务,红杉资本、嘉实投资、中国太平
6,16↑,快手,Kuaishou,1000,宿华,北京,文化娱乐,红杉资本、晨兴资本、百度、腾讯
10,New,京东物流,JD Logistics,800,王振辉,北京,物流服务,高瓴资本、红杉资本、腾讯
11,New,比特大陆,Bitmain,500,吴忌寒,北京,区块链,红杉资本、IDG
11,11↑,车好多,Cars,500,杨浩涌,北京,互联网服务,红杉资本、今日资本、IDG、经纬中国
11,New,金融壹账通,OneConnect,500,叶望春,上海,互联网金融,未透露
11,24↑,美菜网,Meicai,500,刘传军,北京,电子商务,顺为资本、纪源资本、真格基金
11,New,平安医保科技,Ping An HealthKonnect,500,高菁,上海,医疗健康,IDG、思佰益、软银海外
11,New,苏宁金服,Suning Finance,500,张近东,南京,互联网金融,光大控股、深创投
17,4↓,链家,Homelink,400,左晖,北京,房产服务,融创、万科、腾讯、经纬中国
17,18↑,满帮,Full Truck Alliance,400,王刚,南京,物流服务,腾讯、红杉资本、光速中国、高瓴资本
17,18↑,商汤科技,SenseTime,400,徐立,北京,人工智能,鼎晖、IDG、中金公司
17,4↓,神州优车,UCAR ,400,陆正耀,天津,互联网服务,云锋投资、云岭投资、中金公司
17,18↑,微医,We Doctor,400,廖杰远,杭州,医疗健康,红杉资本、高盛、腾讯、启明创投、高瓴资本
22,48↑,达达-京东到家,New Dada,300,蒯佳祺,上海,物流服务,红杉资本、DST、京东
22,6↓,联影医疗,United Imaging,300,薛敏,上海,医疗健康,中国人寿、国投创新
22,→,柔宇科技,Royole,300,刘自鸿,深圳,智能硬件,中信产业基金、基石资本、IDG
22,6↓,威马汽车,WM Motor,300,沈晖,上海,汽车交通,远景能源、红杉资本
22,New,小鹏汽车,Xpeng Motors,300,何小鹏,广州,汽车交通,晨兴资本、IDG、经纬中国、顺为资本、阿里巴巴、纪源资本
22,6↓,优必选,Ubtech,300,周剑,深圳,机器人,启明创投、科大讯飞、鼎晖投资、腾讯
28,New,360企业安全,360 ESG,200,齐向东,北京,互联网服务,IDG资本、中信建投资本、华兴创投
28,6↓,Face++,Face++,200,印奇,北京,人工智能,启明创投、联想之星、建银国际、蚂蚁金服
28,7↑,VIPKID,VIPKID,200,米雯娟,北京,教育,云锋基金、红杉资本、真格基金、腾讯、经纬中国
28,New,博纳影业,Bona film,200,于冬,北京,文化娱乐,红杉资本、SIG、经纬中国、阿里巴巴、万达院线、腾讯
28,6↓,大地影院,Dadi Digital Cinema,200,刘荣,深圳,文化娱乐,阿里影业
28,New,大搜车,Souche,200,姚军红,北京,互联网服务,晨兴资本、红杉资本、阿里巴巴
28,New,地平线机器人,Horizon Robotics,200,余凯,北京,人工智能,真格基金、红杉资本、高瓴资本
28,7↑,斗鱼,Douyu,200,陈少杰,武汉,文化娱乐,红杉资本、腾讯、南山资本
28,New,度小满金融,Du Xiaoman Financial,200,朱光,北京,互联网金融,TPG、凯雷投资，泰康集团、农银国际
28,6↓,复宏汉霖,Henlius,200,刘世高,上海,医疗健康,华盖资本
28,New,汇通达,Huitongda,200,徐秀贤,南京,电子商务,毅达资本、紫金资本、顺为资本
28,New,跨越速运,Kuayue Express,200,胡永,深圳,物流服务,红杉资本
28,7↑,猫眼微影,Maoyan,200,王长田,北京,互联网服务,光线传媒、美团、腾讯
28,New,每日优鲜,Missfresh,200,徐正,北京,电子商务,光信资本、腾讯、浙商创投
28,New,奇点汽车,Singulato,200,沈海寅,北京,汽车交通,光信资本、奇虎360
28,7↑,喜马拉雅,Himalaya,200,余建军,上海,文化娱乐,SIG、Sierra Ventures、前海兴旺
28,42↑,小红书,Xiaohongshu,200,毛文超,上海,电子商务,腾讯、真格基金、纪源资本
28,7↑,一下科技,Yixia ,200,韩坤,北京,互联网服务,新浪、红点创投、红杉资本、晨兴资本
28,7↑,易果生鲜,Yiguo,200,金光磊,上海,电子商务,阿里巴巴、高盛
28,6↓,银联商务,China UMS,200,田林 ,上海,互联网金融,光际资本、IDG
28,7↑,优客工场,UrWork,200,毛大庆,北京,互联网服务,易凯资本、真格基金、红杉资本
28,New,游侠汽车,Youxia,200,卫俊,上海,汽车交通,前海梧桐、中创海洋
28,42↑,猿辅导,Yuanfudao,200,李勇,北京,教育,IDG、经纬中国、腾讯
28,New,云从科技,Cloudwalk,200,周曦,广州,人工智能,顺为资本、元禾原点、前海兴旺
28,New,自如,Ziroom,200,左晖,北京,互联网服务,华平投资、红杉资本、腾讯
28,New,作业帮,Zuoyebang,200,侯建彬,北京,教育,纪源资本、H Capital、红杉资本
54,New,灿星,Canxing,150,田明,上海,文化娱乐,阿里巴巴、腾讯、华人文化
54,New,哈啰出行,Hellobike,150,杨磊,上海,互联网服务,纪源资本、磐谷创投、愉悦资本、蚂蚁金服
54,16↑,寒武纪科技,Cambricon,150,陈天石,北京,智能硬件,国投创业、阿里巴巴、联想创投
54,New,合全药业,Syntheall,150,李革,上海,医疗健康,红杉资本
54,New,嘉楠耘智,Canaan,150,张楠赓,杭州,区块链,锦江集团、暾澜资本
54,New,名创优品,Miniso,150,叶国富,广州,新零售,腾讯、高瓴资本
54,New,瑞幸咖啡,Luckin Coffee,150,钱治亚,北京,新零售,大钲资本、愉悦资本、GIC、君联资本
54,New,苏宁体育,Suning Sports,150,张近东,南京,文化娱乐,高盛
54,19↓,淘票票,Taobao Dianying,150,俞永福,杭州,互联网服务,蚂蚁金服、鼎晖投资、新浪
54,16↑,知乎,Zhihu,150,周源,北京,互联网服务,今日资本、启明创投、腾讯
64,29↓,APUS,APUS,100,李涛,北京,互联网服务,SIG、启明创投
64,29↓,PingPong,PingPong,100,陈宇,杭州,互联网金融,广发信德、清华控股、Fidelity
64,New,爱驰汽车,Aiways,100,谷峰,上海,汽车交通,未透露
64,New,爱回收,Aihuishou,100,陈雪峰,上海,互联网服务,凯辉基金、达晨创投、天图资本
64,New,拜腾汽车,Byton,100,毕福康,南京,汽车交通,一汽集团、启迪控股、宁德时代
64,New,曹操专车,Caocao,100,刘金良,杭州,互联网服务,未透露
64,New,车和家,Chehejia,100,李想,北京,汽车交通,利欧股份、源码资本、明势资本
64,New,电咖汽车,Dearcc,100,张海亮,绍兴,汽车交通,未透露
64,New,甘李药业,Ganlee,100,甘忠如,北京,医疗健康,启明创投、高瓴资本、高盛
64,New,高顿,Gaodun,100,李锋,上海,教育,前程无忧
64,29↓,孩子王,Kidswant,100,汪建国,南京,电子商务,华平投资、景林投资、高瓴资本
64,New,汇桔网,WTOIP,100,谢旭辉,广州,互联网服务,粤民投、厚朴投资、胡润百富
64,29↓,惠民网,Huimin,100,张一春,北京,电子商务,西部优势资本、中合担保
64,29↓,界面,Jiemian,100,何力,上海,文化娱乐,昆仑信托
64,6↑,金山云,Ksyun,100,王育林,北京,大数据与云计算,IDG、金山软件、小米
64,New,开沃汽车,Skywell,100,黄宏生,南京,汽车交通,未透露
64,29↓,拉卡拉,Lakala,100,孙陶然,北京,互联网金融,君联资本、富鑫国际、晨兴资本
64,New,驴妈妈,lvmama,100,洪清华,上海,互联网服务,红杉资本、鼎晖创投
64,New,马蜂窝,Mafengwo,100,陈罡,北京,互联网服务,今日资本、启明创投、高瓴资本
64,29↓,芒果TV,Mgtv,100,张勇,长沙,文化娱乐,联新资本、上海国和、厦门建发
64,29↓,蜜芽,Mia,100,刘楠,北京,电子商务,百度、红杉资本、真格基金
64,6↑,纳恩博,Ninebot,100,高禄峰,天津,智能硬件,红杉资本、小米、顺为资本
64,New,盘石股份,Panshi,100,田宁,杭州,大数据与云计算,赛伯乐、韩亚金融集团、建信信托
64,New,全棉时代,Winner,100,李建全,深圳,医疗健康,红杉资本
64,New,日日顺,RRS,100,解居志,青岛,物流服务,阿里巴巴、高盛、中投
64,New,软通动力,iSoftstone,100,刘天文,北京,互联网服务,红杉资本、达晨创投 、华兴新经济基金、易方达基金 
64,New,天下秀,IMS,100,李檬,北京,互联网服务,新浪、软银赛富、摩根士丹利
64,New,途虎养车,Tuhu,100,陈敏,上海,互联网服务,高瓴资本、启明创投、君联资本、红杉资本
64,29↓,途家网,Tujia,100,罗军,北京,互联网服务,携程、纪源资本、启明创投
64,29↓,土巴兔,Tubatu,100,王国彬,深圳,互联网服务,红杉资本、经纬中国、58同城
64,6↑,网易云音乐,NetEase Music,100,朱一闻,杭州,文化娱乐,SMG
64,29↓,微店,Weidian,100,王珂,北京,电子商务,腾讯、华平资本、经纬中国
64,29↓,微鲸,Whaley,100,黎瑞刚,上海,智能硬件,腾讯、华人文化产业基金
64,6↑,小猪短租,xiaozhu,100,陈驰,北京,房产服务,愉悦资本、贝塔斯曼、君联资本、晨兴资本
64,29↓,信达生物,Innovent Bio,100,俞德超,苏州,医疗健康,国投创新、君联资本、淡马锡、高瓴资本
64,New,药明明码,WuXi NextCODE,100,李革,上海,医疗健康,淡马锡、红杉资本、云锋基金、
64,6↑,依图科技,YITU,100,朱珑,上海,人工智能,云锋基金、红杉资本、真格基金、高瓴资本
64,29↓,英雄互娱,Hero Entertainment,100,应书岭,北京,游戏,华谊兄弟、红杉资本、真格基金
64,6↑,悦畅科技,ETCP,100,谭龙,北京,互联网服务,万达、经纬中国、SIG
64,29↓,找钢网,Zhaogang ,100,王东,上海,电子商务,IDG、经纬中国、红杉资本、真格基金
64,29↓,猪八戒网,Zbj,100,朱明跃,重庆,互联网服务,赛伯乐、IDG
105,New,1919酒类直供,1919 Wines & Spirits,70,杨陵江,成都,新零售,阿里巴巴、天弘基金、中信证券
105,35↓,58到家,Daojia,70,姚劲波,北京,互联网服务,阿里巴巴、KKR、平安创投
105,New,DotC United,DotC United,70,石一,上海,互联网服务,高榕资本、光速中国、晨兴资本
105,35↓,iTutorGroup,iTutorGroup,70,杨正大,北京,教育,启明创投、GIC、高盛
105,New,Momenta,Momenta,70,曹旭东,北京,人工智能,腾讯、真格基金、顺为资本
105,New,V领地,V Linker,70,周君强,上海,房产服务,华平投资
105,New,阿里体育,Alisports,70,张勇,上海,文化娱乐,云峰基金、太平资产
105,New,艾佳生活,Ihomefnt,70,潘定国,南京,互联网服务,天图资本、达晨创投、正和岛基金
105,New,安翰医疗,Ankon,70,吉朋松,上海,医疗健康,软银中国、大中投资
105,35↓,安能物流,Ane,70,王拥军,上海,物流服务,红杉资本、凯雷投资、高盛
105,New,奥比中光,Orbbec,70,黄源浩,深圳,人工智能,蚂蚁金服、赛富投资、松禾资本
105,35↓,贝贝网,Beibei,70,张良伦,杭州,电子商务,IDG、北极光创投、今日资本
105,35↓,波奇网,Boqii,70,唐颖之,上海,电子商务,高盛、集富亚洲、点亮资本
105,35↓,车猫二手车,Chemao,70,黄巍,杭州,互联网服务,浙富控股、元璟资本
105,35↓,车易拍,Cheyipai,70,杨雪剑,北京,电子商务,北汽产业投资、经纬中国、晨兴资本
105,New,车置宝,Chezhibao,70,黄乐,南京,互联网服务,九鼎资本、毅达资本
105,New,出门问问,Mobvoi,70,李志飞,上海,人工智能,真格基金、红杉资本、SIG
105,35↓,春雨医生,Chunyuyisheng,70,李光辉,北京,医疗健康,蓝驰创投、贝塔斯曼、中金公司
105,New,第四范式,4paradigm,70,戴文渊,北京,人工智能,红杉资本、国新、启迪
105,35↓,点融网,Dianrong,70,苏海德,上海,互联网金融,老虎环球基金、北极光创投、GIC
105,New,丁香园,Dxy,70,李天天,杭州,互联网服务,顺为资本、DCM、腾讯
105,35↓,返利网,Fanli,70,葛永昌,上海,电子商务,SIG、启明创投、乐天
105,35↓,房多多,FangDD,70,段毅,深圳,房产服务,嘉御基金、光速中国、鼎晖创投
105,35↓,纷享销客,Fxiaoke,70,罗旭,北京,互联网服务,DCM、北极光创投、IDG、高瓴资本
105,New,丰巢科技,Fcbox,70,王卫,深圳,物流服务,顺丰速运、鼎晖投资、国开金融
105,New,富途证券,Futu,70,李华,深圳,互联网金融,腾讯、红杉资本、经纬中国
105,New,好大夫在线,Haodf,70,王航,北京,医疗健康,挚信资本、崇德投资、DCM中国
105,New,好享家,Hosjoy,70,汪建国,南京,互联网服务,德同资本、方正和生、富坤投资
105,35↓,沪江,Hujiang,70,伏彩瑞,上海,教育,汉能投资、软银、顺为资本
105,New,华云数据,Huayun,70,许广彬,无锡,大数据与云计算,SIG、Intel Capital、海通开元
105,New,辉能科技,Prologium,70,楊思枏,台北,新能源,丹丰资本、软银中国资本
105,New,慧科教育,Huikedu Group,70,方业昌,北京,教育,泛海控股、复星锐正资本
105,New,基石药业,Cstone,70,江宁军,苏州,医疗健康,GIC，红杉资本、云锋基金
105,35↓,集奥聚合,Geo,70,崔晶晶,北京,大数据与云计算,金沙江创投、新浪、亚信联创
105,New,九次方大数据,Jusfoun,70,王叁寿,北京,大数据与云计算,IDG资本、信中利资本、键桥通讯
105,35↓,玖富,9fgroup,70,孙雷,北京,互联网金融,晨兴资本、DCM、SIG
105,83↓,酒仙网,JiuXian,70,郝鸿峰,北京,电子商务,红杉资本、东方富海
105,35↓,卷皮,Juanpi,70,黄承松,广州,电子商务,天图资本、招银国际、浙江金控
105,New,客路旅行,KLOOK,70,王志豪,香港,互联网服务,红杉资本、经纬中国、高盛
105,35↓,辣妈帮,Lamabang,70,金赞,深圳,互联网服务,经纬中国、晨兴资本
105,New,老虎证券,Tiger,70,巫天华,北京,互联网金融,真格基金、小米科技、宜信
105,New,连连数字,Lianlian,70,章征宇,杭州,互联网金融,红杉资本、光大实业、赛伯乐
105,New,联易融,Linklogis,70,宋群,深圳,互联网金融,腾讯、泛海投资、中信资本
105,New,零氪科技,Linkdoc,70,张天泽,北京,大数据与云计算,中投公司
105,New,零跑汽车,Leapmotor,70,朱江明,金华,汽车交通,红杉资本、上海电气、兴业证券
105,New,罗辑思维,Luojilab,70,罗振宇,北京,文化娱乐,顺为资本、启明创投、真格基金、红杉资本、腾讯
105,35↓,罗计物流,Loji ,70,宋睿,北京,物流服务,IDG、真格基金
105,New,脉脉,Maimai,70,林凡,北京,互联网服务,DST、IDG、晨兴资本、DCM
105,35↓,魔方公寓,Mofang ,70,葛岚,上海,房产服务,中航信托、华平投资、德同资本
105,New,柠萌影业,Linmon,70,苏晓,上海,文化娱乐,腾讯、弘毅投资
105,35↓,诺禾致源,Novogene,70,李瑞强,北京,医疗健康,招银国际、国投创新、方和资本
105,New,人人车,Renrenche,70,李健,北京,互联网服务,高盛、腾讯、滴滴、顺为资本
105,35↓,人人贷,Renrendai,70,杨一夫,北京,互联网金融,挚信资本
105,New,神州细胞工程,Sinocelltech,70,谢良志,北京,医疗健康,启明创投
105,New,首汽约车,Shouqi,70,魏东,北京,互联网服务,百度、蔚来资本
105,New,数梦工场,Dtdream,70,吴敬传,杭州,大数据与云计算,阿里巴巴、银杏谷资本
105,35↓,碳云智能,Icarbonx,70,王俊,广州,医疗健康,天府集团、鑫根资本
105,35↓,腾云天下,TalkingData,70,崔晓波,北京,大数据与云计算,软银中国、麦顿投资、北极光创投
105,New,同盾科技,Tongdun,70,蒋韬,杭州,大数据与云计算,IDG、华创资本、宽带资本、启明创投
105,New,挖财,Wacai,70,李治国,杭州,互联网金融,新天域资本、光信资本、IDG、启明创投
105,35↓,万能钥匙,WiFi Master key,70,陈大年,上海,互联网服务,海通开元、北极光创投
105,New,网易有道,Youdao,70,周枫,北京,互联网服务,君联资本、慕华投资
105,New,微盟,Weimob,70,孙涛勇,上海,互联网服务,华映资本、海航资本、上海自贸区基金
105,35↓,我买网,Womai,70,张东风,北京,电子商务,IDG、赛富基金、百度
105,New,新氧网,Soyoung,70,金星,北京,互联网服务,经纬中国、挚信资本、腾讯
105,New,亚洲医疗,Asia Medical,70,谢俊明,香港,医疗健康,红杉资本、泛大西洋
105,35↓,洋码头,yMatou,70,曾碧波,上海,电子商务,远镜创投、赛富基金、上海国际
105,35↓,要出发,Yaochufa,70,丁根芳,广州,互联网服务,众信旅游、红杉资本
105,35↓,一点资讯,Yidianzixun,70,李亚,北京,文化娱乐,凤凰、小米、IDG
105,New,一起作业,17zuoye,70,刘畅,上海,教育,真格基金、顺为资本、老虎基金
105,New,亿邦国际,Ebang,70,胡东,杭州,区块链,未透露
105,New,易久批,Yijiupi,70,王朝成,北京,电子商务,美团点评、腾讯、贝塔斯曼
105,35↓,易生金服,Easy Life,70,刘江涛,北京,互联网金融,海航旅游、H-capital
105,New,影谱科技,Moviebook,70,姬晓晨,北京,人工智能,商汤科技、软银中国、曜为资本
105,New,优刻得,UCloud,70,季昕华,上海,大数据与云计算,DCM、贝塔斯曼、君联资本
105,35↓,有利网,Yooli,70,吴逸然,北京,互联网金融,高瓴资本、晨兴资本、软银中国
105,New,越海全球,YH Global,70,张泉,深圳,物流服务,涌铧投资、汇能金融、磐石资本
105,35↓,云鸟科技,Yunniao,70,韩毅,北京,物流服务,华平投资、红杉资本、经纬中国
105,35↓,云知声,Unisound  ,70,梁家恩,北京,大数据与云计算,启明创投、高通
105,New,执御信息,Jollycorp,70,李海燕,杭州,电子商务,红杉资本、君联资本、鼎晖投资
105,New,智米科技,Smartmi,70,苏峻,北京,智能硬件,顺为资本、GIC
105,New,转转,Zhuanzhuan,70,姚劲波,北京,互联网服务,腾讯
